customer_id,province_id,cust_first_name,cust_last_name
1,1,Teresa,Santos
2,2,Teresa,Ortega
3,3,Sofia,Dela Cruz
4,2,Maria,Pascual
5,4,Miguel,Lim
6,2,Andres,Villanueva
7,5,Maria,Castro
8,2,Rafael,Ortega
9,6,Victor,Castro
10,7,Diego,Ortega
11,4,Clara,Navarro
12,2,Juan,Santos
13,8,Marco,Flores
14,9,Isabella,Domingo
15,6,Paolo,Mendoza
16,5,Maria,Aquino
17,2,Clara,Santos
18,10,Daniel,Villanueva
19,1,Rafael,Aquino
20,1,Sofia,Reyes
12,1,Juan,Santos
21,9,Miguel,Garcia
13,1,Marco,Flores
22,11,Marco,Reyes
23,9,Ana,Pascual
24,12,Marco,Lim
25,12,Rafael,Gutierrez
26,1,Victor,Aquino
27,5,Luis,Lim
28,6,Teresa,Garcia
29,13,Elena,Aquino
1,9,Teresa,Santos
30,13,Isabella,Gutierrez
31,7,Andres,Ortega
32,10,Marco,Dela Cruz
33,13,Jose,Domingo
34,7,Ana,Aquino
35,4,Ana,Domingo
36,8,Marco,Castro
37,14,Carlos,Pascual
38,8,Miguel,Castro
39,6,Juan,Navarro
40,6,Victor,Gutierrez
41,11,Miguel,Santos
42,12,Maria,Dela Cruz
43,9,Diego,Garcia
16,14,Maria,Aquino
44,4,Sofia,Castro
45,8,Maria,Villanueva
46,3,Juan,Domingo
47,8,Sofia,Flores
48,10,Clara,Flores
49,7,Ana,Navarro
13,15,Marco,Flores
50,4,Paolo,Lim
51,1,Miguel,Gutierrez
52,4,Miguel,Navarro
53,5,Rafael,Garcia
54,12,Rafael,Flores
55,3,Elena,Flores
56,14,Teresa,Flores
57,8,Maria,Mendoza
2,7,Teresa,Ortega
58,10,Daniel,Garcia
59,2,Diego,Reyes
60,7,Angela,Castro
61,15,Carlos,Santos
49,10,Ana,Navarro
62,8,Luis,Mendoza
63,11,Ana,Castro
64,6,Ana,Flores
65,3,Jose,Santos
66,12,Daniel,Santos
20,11,Sofia,Reyes
67,3,Paolo,Santos
68,15,Rafael,Pascual
69,10,Sofia,Navarro
70,8,Ana,Mendoza
53,3,Rafael,Garcia
71,14,Paolo,Gutierrez
72,3,Elena,Villanueva
73,8,Paolo,Reyes
61,5,Carlos,Santos
74,2,Andres,Domingo
75,11,Jose,Navarro
76,5,Maria,Reyes
77,2,Maria,Navarro
78,8,Isabella,Pascual
79,4,Diego,Dela Cruz
80,12,Isabella,Santos
81,12,Isabella,Castro
82,13,Angela,Flores
83,13,Jose,Flores
84,9,Rafael,Villanueva
85,6,Diego,Navarro
62,5,Luis,Mendoza
48,3,Clara,Flores
86,11,Victor,Reyes
87,14,Diego,Pascual
88,8,Juan,Dela Cruz
89,2,Andres,Reyes
90,14,Paolo,Flores
75,15,Jose,Navarro
91,1,Rafael,Castro
86,5,Victor,Reyes
92,8,Isabella,Lim
93,5,Luis,Ortega
94,4,Clara,Villanueva
95,6,Diego,Gutierrez
96,4,Diego,Flores
31,2,Andres,Ortega
15,11,Paolo,Mendoza
79,10,Diego,Dela Cruz
97,3,Isabella,Garcia
76,2,Maria,Reyes
98,8,Sofia,Pascual
99,9,Rafael,Santos
100,5,Luis,Santos
101,5,Clara,Reyes
102,1,Clara,Dela Cruz
103,6,Clara,Castro
104,12,Marco,Aquino
16,8,Maria,Aquino
90,4,Paolo,Flores
105,3,Sofia,Aquino
106,3,Paolo,Castro
54,4,Rafael,Flores
107,12,Andres,Aquino
14,6,Isabella,Domingo
108,5,Miguel,Reyes
54,6,Rafael,Flores
109,4,Clara,Pascual
110,10,Luis,Dela Cruz
11,9,Clara,Navarro
111,9,Jose,Gutierrez
104,13,Marco,Aquino
53,6,Rafael,Garcia
112,3,Marco,Mendoza
113,3,Teresa,Navarro
114,15,Daniel,Mendoza
115,7,Isabella,Mendoza
41,2,Miguel,Santos
116,15,Diego,Villanueva
117,2,Sofia,Gutierrez
118,10,Isabella,Aquino
45,7,Maria,Villanueva
119,3,Diego,Aquino
120,1,Paolo,Ortega
121,14,Sofia,Santos
122,3,Jose,Pascual
123,4,Victor,Dela Cruz
118,14,Isabella,Aquino
74,6,Andres,Domingo
24,13,Marco,Lim
124,2,Andres,Garcia
